,subject,session,n_neurons,sig_mod,perc_mod
0,EA106,D1,411,24,5.839416058394161
1,EA106,D2,286,15,5.244755244755245
2,EA106,D3,105,5,4.761904761904762
3,EA107,D2,127,25,19.68503937007874
4,EA111,D4,77,14,18.181818181818183
5,FC094,D1,141,21,14.893617021276595
6,FC094,D2,343,25,7.288629737609329
7,FC094,D3,296,9,3.040540540540541
8,FC096,D5,132,23,17.424242424242426
9,FC096,D6,164,25,15.24390243902439
10,FC097,D3,219,67,30.59360730593607
11,FC097,D4,275,108,39.27272727272727
12,FC097,D5,106,23,21.69811320754717
